audio_path,instrument
all-samples\guitar\guitar_E5_very-long_forte_normal.mp3,guitar
all-samples\guitar\guitar_D4_very-long_piano_normal.mp3,guitar
all-samples\guitar\guitar_As4_very-long_forte_normal.mp3,guitar
all-samples\guitar\guitar_A4_very-long_piano_harmonics.mp3,guitar
all-samples\guitar\guitar_Gs2_very-long_piano_normal.mp3,guitar
all-samples\guitar\guitar_E3_very-long_pianissimo_harmonics.mp3,guitar
all-samples\guitar\guitar_A2_very-long_piano_normal.mp3,guitar
all-samples\guitar\guitar_F3_very-long_forte_normal.mp3,guitar
all-samples\guitar\guitar_F4_very-long_piano_harmonics.mp3,guitar
all-samples\guitar\guitar_Fs4_very-long_forte_normal.mp3,guitar
all-samples\guitar\guitar_Fs3_very-long_forte_normal.mp3,guitar
all-samples\guitar\guitar_Fs4_very-long_piano_harmonics.mp3,guitar
all-samples\guitar\guitar_A4_very-long_piano_normal.mp3,guitar
all-samples\guitar\guitar_D4_very-long_pianissimo_harmonics.mp3,guitar
all-samples\guitar\guitar_E5_very-long_piano_harmonics.mp3,guitar
all-samples\guitar\guitar_E5_very-long_pianissimo_harmonics.mp3,guitar
all-samples\guitar\guitar_Ds5_very-long_forte_normal.mp3,guitar
all-samples\guitar\guitar_E3_very-long_forte_harmonics.mp3,guitar
all-samples\guitar\guitar_C6_very-long_piano_normal.mp3,guitar
all-samples\guitar\guitar_C4_very-long_forte_normal.mp3,guitar
all-samples\guitar\guitar_E5_very-long_piano_normal.mp3,guitar
all-samples\guitar\guitar_E4_very-long_forte_harmonics.mp3,guitar
all-samples\guitar\guitar_F2_very-long_piano_normal.mp3,guitar
all-samples\guitar\guitar_B5_very-long_forte_harmonics.mp3,guitar
all-samples\guitar\guitar_E3_very-long_piano_normal.mp3,guitar
all-samples\guitar\guitar_A4_very-long_forte_normal.mp3,guitar
all-samples\guitar\guitar_B3_very-long_piano_normal.mp3,guitar
all-samples\guitar\guitar_E4_very-long_piano_normal.mp3,guitar
all-samples\guitar\guitar_C5_very-long_piano_harmonics.mp3,guitar
all-samples\guitar\guitar_Fs4_very-long_piano_normal.mp3,guitar
all-samples\guitar\guitar_D3_very-long_forte_normal.mp3,guitar
all-samples\guitar\guitar_D5_very-long_forte_normal.mp3,guitar
all-samples\guitar\guitar_Fs2_very-long_forte_normal.mp3,guitar
all-samples\guitar\guitar_G5_very-long_piano_harmonics.mp3,guitar
all-samples\guitar\guitar_Ds4_very-long_piano_harmonics.mp3,guitar
all-samples\guitar\guitar_E4_very-long_piano_harmonics.mp3,guitar
all-samples\guitar\guitar_D5_very-long_piano_harmonics.mp3,guitar
all-samples\guitar\guitar_Ds4_very-long_forte_normal.mp3,guitar
all-samples\guitar\guitar_Ds3_very-long_forte_normal.mp3,guitar
all-samples\guitar\guitar_Gs4_very-long_piano_normal.mp3,guitar
all-samples\guitar\guitar_E2_very-long_piano_normal.mp3,guitar
all-samples\guitar\guitar_G3_very-long_piano_harmonics.mp3,guitar
all-samples\guitar\guitar_As2_very-long_piano_normal.mp3,guitar
all-samples\guitar\guitar_Cs4_very-long_forte_normal.mp3,guitar
all-samples\guitar\guitar_B4_very-long_forte_normal.mp3,guitar
all-samples\guitar\guitar_D4_very-long_forte_harmonics.mp3,guitar
all-samples\guitar\guitar_D4_very-long_forte_normal.mp3,guitar
